name		ranks
Syracuse		24		0
Virginia		20		5
Pitt		20		5
Duke		19		5
Clemson		15		8
NC State		16		8
Wake		14		10
FSU		14		10
Maryland		14		11
NC		16		7
GT		12		12
ND		13		12
Miami		12		12
BC		6		17
VT		8		15
